id,Folio ,Illustration title,Textual elements ,Initials ,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,"3, 4, 5, 6, 7",,"gilt, foliated, red and blue M","2, 26","red hooded tunic, green undertunic for Dangier, L’Amans’ clothing changes in each scene, pink hooded mantle, red lining, grey hooded mantle, red undertunic, red hooded mantle, green undertunic","bed, bedding, pillows, club, high back chair, clothing, clothing rod, fountain","trees, river, rose vine, grass","house, castle, enclosed garden","foliate frame with portraits in gilt medallions, monk, nun, bishop, cardinal, three scenes have gilt background, one white diaper over pink, blue and gold background, birds, L’Amans has tonsure"
2,2r,8,,,50,"wimple, veil tied to one side at ear, grey gown tied at waist",bench,,,pink checkerboard with red dots background
3,2r,10,,,111,"pink gown with hanging sleeves, red undertunic, red headdress, veil for Vilanie, red tunic with hanging panel wrapped over shoulders, grey undertunic for L’Amans, ","cup, bench",,,"gold, blue, red lozenges with white ornament background"
4,2r,11,,,21,"red sleevless gown, pink undertunic for Covoitise","clothing, clothing rod, bench, chest, money",,,gilt background
5,2v,12,,,9,pink gown for Avarice,"clothing, clothing rod, bench, chest, money, two ewers, cup",,,"gilt background, foliate frame"
6,2v,13,,,38,"black gown, red mantle, wimple, veil tied at left ear for Envie, purple houppelande, red undertunic for woman, pink tunic with hanging sleeves, black hose for man",money bag,,"dwelling, house","white diaper over blue, red and gold checkerboard background"
7,3r,14,,,107,purple gown open to chest for Tristesce,bench,,,blue and red checkerboard with white ornament background
8,3v,15,,,110,"purple gown, black hood with liripipe, red mantle, wimple, veil for Vielleice","cane, fire, pot",,"chimney, dwelling, house",
9,4r,16,,,86,"white gown, veil, wimple, black mantle for Papelardie","bench, prie-dieu altar, crucifix, curtain",,,blue and gold lozenge with white ornament background
10,4r,17,,,"2, 95","grey gown with red lining open to waist for Povrete, pink hooded tunic with hanging sleeves, red undertunic for man (L’Amans?)",,"two trees, grass, hill",,gilt background
11,5r,20,,,"2, 83","pink surcote gathered in folds at waist, red undertunic for Oiseuse, blue tunic with hanging sleeves, hood with liripipe, purple hose for L’Amans",mirror,"two trees, grass ","castle, dwelling",
12,6v,23,,,"musicians, dancers","tunics with hanging sleeves in mi-parti with hood and liripipe, yellow hose for musicians, tunics with hanging sleeves, hose for male dancers, houppelandes for women",trumpet,three trees,,
13,8r,34,,,"97, 2","red surcote, pink undertunic, wimple, veil for Richece, grey tunic with hanging sleeves, hood, black hose for L’Amans",money bag,,,blue and red floral checkerboard background
14,9r,35,,,"66, 2","grey tunic with hanging sleeves, hood, red undertunic, black hose for L’Amans, red houppelande with hanging sleeves, veil, wimple for Largesce",money bag,,,purple checkerboard with blue and red dots background
15,9v,36,,,45,"pink houppelande, red undertunic for Franchise, purple tunic with hanging sleeves, red undertunic, purple hose for man",,,,blue lozenges with red or blue crosses background
16,9v,37,,,19,"pink tunic with hanging sleeves, red hood with liripipe, red hose, grey undertunic for man, purple houppelande with red lining, pink undertunic for Cortoisie",,,,gilt background
17,10r,38,,,83,"pink tunic with hanging sleeves, hood and liripipe, red hose for man, red houppelande, purple undergown for Oiseuse",,,,"blue checkerboard with red and blue dots, white diaper background"
18,10r,39,,,61,"pink houppelande, red undertunic for Joinece, grey tunic with hanging sleeves, hood with liripipe for man",,,"castle, dwelling",red and blue checkerboard with lozenge ornament background
19,11r,46,,,78,"pink tunic with hanging sleeves, hood with liripipe, red undertunic, red hose for Narcisus",fountain,tree ,,"horse, gold arabesque on blue background"
20,11v,47,,,78,"blue tunic with hanging sleeves, red undertunic, pink hose for Narcisus",fountain,two trees ,,"pink, blue and gold checkerboard background"
21,12v,45,,,2,"pink tunic with hanging sleeves, red undertunic, red hose, red hood with liripipe for L’Amans",fountain,two trees ,,gilt background
22,13r,51,,,"2, 4","blue tunic, pink mantle, crown for Amors, grey tunic with hanging sleeves, red hose, green undertunic for L’Amans",money bag,"tree, grass",,gilt background
23,14v,53,,,"2, 4","red tunic with hanging sleeves, green undertunic, orange hose for L’Amans, green tunic, blue mantle, red lining, crown for Amors",,,,red and purple lozenges with red ornament
24,15r,54,,,"2, 4","red tunic with hanging sleeves, hood with liripipe, grey hose for L’Amans, grey tunic, pink mantle with red lining, crown for Amors",,,,"blue and red lozenge with red, white and blue ornament background"
25,15r,56,,,"2, 4 ","red tunic with hanging sleeves, hood with liripipe, grey hose for L’Amans, green tunic, blue mantle with red lining, crown for Amors","key, money bag",,,gold arabesque on red background
26,15v,57,,,"2, 4 ","grey tunic with hanging sleeves, pink undertunic for L’Amans, red tunic, pink mantle, crown for Amors",,"tree, grass",,gilt background
27,19r,291,,,"2, 4 ","blue tunic with hanging sleeves, red undertunic, red hose for L’Amans, pink tunic, red mantle, crown for Amors",,"two trees, grass ",,gold checkerboard flower ornament over blue background
28,20v,64,,,"2, 11","grey tunic with hanging sleeves, hood with liripipe for Bel Acueil, red tunic with hanging sleeves, purple hose, grey undertunic for L’Amans",,"two trees, grass",,"blue checkerboard with red and blue dots, white diaper background"
29,21r,64,,,"2, 11","red tunic with hanging sleeves, hood with liripipe, pink hose, blue tunic with hanging sleeves, red hose, red undertunic",,"three trees, grass",,"red stripes, white stripes in checkerboard pattern over blue background"
30,21v,67,,,"11, 26","grey tunic with hanging sleeves, red undertunic, red hose for Dangier, red tunic with hanging sleeves, with hood, grey undertunic for L’Amans",money bag,"rose vine, three trees, grass",,gilt background
31,22r,69,,,"2, 96","grey tunic with hanging sleeves, red undertunic, red hose for Reson, red tunic with hanging sleeves, with hood, grey undertunic for L’Amans",,"two trees, grass, hill",,red and blue checkerboard with red ornament background
32,23r,70,,,"3, 2","pink tunic with hanging sleeves, hood with liripipe, red undertunic, red hose for L’Amans, red tunic with hanging sleeves, hood and liripipe, brown hose for Amis",money bag,"three trees, grass",,gold arabesque on blue background
33,23r,71,,,"26, 2","red tunic, black boots for Dangier, blue tunic with hanging sleeves, red hose for L’Amans","club, money bag","rose vine, grass",,"gilt background behind Dangier, red checkerboard with dots and white diaper background behind L’Amans"
34,24r,73,,,"45, 26, 94","red tunic, boots for Dangier, pink houppelande, blue undertunic for Franchise, grey houppelande, pink undertunic for Pitie",club ,tree ,,"blue, gold stripes in checkerboard"
35,24v,74,,,"45, 11","blue tunic with hanging sleeves, hood with liripipe, red undertunic, red hose for Bel Acueil, red houppelande, grey undertunic, wimple for Franchise",,"two trees, grass ",,blue and red checkerboard with white diaper background
36,24v,76,,,"11, 2 ","pink houppelande, red undertunic for Bel Acueil, grey tunic with hanging sleeves, red undertunic, red hose for L’Amans",,two trees ,,gilt background
37,25v,77,,,"11, 108","black houppelande, wimple, veil tied at left ear, pink undertunic for Venus, red tunic with hanging sleeves, black undertunic, black hose for Bel Acueil",,,,blue and red lozenge with white cross ornament background
38,26r,306,,,"58, 11, 2, 54, 89","gowns on women, red tunic with hanging sleeves, hood with liripipe, blue undertunic for L’Amans, blue houppelande, red undertunic, hood, wimple, linen band for Jalousie",,,,gold arabesque on pink background
39,26v,307,,,"58, 54","grey houppelande, red undertunic, hood with liripipe for Jalousie, pink houppelande, green undertunic, wimple, linen band for Honte",,,,"blue and red checkerboard, white X ornament background"
40,27r,88,,,"89, 54, 26","purple surcote, green undertunic, wimple, linen band for Peor, red houppelande, purple undertunic for Honte, pink tunic with hanging sleeves, red undertunic for Dangier",,"tree, grass, hill",,"pink checkerboard, red and blue X ornament background"
41,28r,91,,,"11, 58, masons","purple houppelande, red hood, liripipe, veil, red undertunic for Jalousie, grey tunic, hood, chaperon for mason, pink tunic with hanging sleeves for mason","trowel, chisel",,castle ,gilt background
42,28v,92,,,11,,,,castle ,gilt background
43,30r,95,,,60,"red hooded tunic with full sleeves, liripipe for Jean de Meun","curtain, curtain rod, bench, lectern, writing table",,,gilt background
44,31r,97,,,"96, 2","purple surcote, pink undergown, wimple, linen band for Reson, pink tunic with hanging sleeves, red undertunic, red hose for L’Amans","tree, grass",,castle ,gilt background
45,32r,97,,,"96, 2","grey tunic with hanging sleeves, pink hose for L’Amans, pink houppelande, red undergown, red hood with liripipe for Reson",,,,red flowers and blue flowers in checkerboard pattern defined with gold lines on blue background
46,36r,98,,,,,,,,red flowers and blue flowers in checkerboard pattern defined with gold lines on red background
47,41r,103,,,"112, Virginius","red hooded tunic with hanging sleeves, grey undertunic for Virginius",bench,,,"red checkerboard with blue and red dots, blue diaper background, Virginia’s head, a hand sticks out of the ground"
48,44r,106,,,101,,bath,,,red and blue checkerboard with blue and red X background
49,45v,100,,,44,"tunics with hoods for men, pink gown for Fortune (?)",four cups,,,"red, gold and blue checkerboard with white diaper background, hieratic scale"
50,46v,108,,,"80, companions","purple tunic, crown for Nero, tunics with hanging sleeves and slits for companions","knife, dagger",,castle,gilt background
51,60r,126,,,"71, witnesses","red gown with hanging sleeves, pink undergown for Lucretia, hooded tunic with hanging sleeves for witnesses","knife, dagger",,"castle, dwelling",gilt background
52,64v,132,,,"57, wife","pink tunic, red hose for Jalous, red houppelande for wife",club ,,"dwelling, house","red, blue and gold checkerboard with X ornament background"
53,69r,143,,,"97, Richece’s friend, 2","purple hooded tunic with hanging sleeves, red undertunic, red hose for Richece’s friend, pink houppelande, purple undertunic for Richece, red tunic, hood with liripipe for L’Amans",,"tree, grass",,"red, blue and gold checkerboard with white diaper background"
54,70v,146,,,"4, 2","grey hooded tunic with hanging sleeves, red undertunic for Amors, pink hooded tunic with liripipe, with hanging sleeves for L’Amans",,"three trees, grass",,"gilt background, Amors does not have wings"
55,71v,156,,,"4, 18, 41","grey gown, pink mantle, crown for Amors, monk’s garb for Fausemblant, nun’s garment for Contreinte Atenance",,,,red and blue checkerboard outlined in gold with white X background
56,74v,308,,,"41, 4, ","grey tunic, pink mantle with red lining, crown for Amors, crown for Fausemblant, grey hooded tunic with hanging sleeves, red undertunic, headdress for unidentified figure",throne,,,gilt background
57,85r,167,,,"8, 41, 74","black mantle, wimple, veil tied at right side for Contreinte Atenance, monk’s garb for Fausemblant, blue hooded tunic with liripipe, hanging sleeves for Malebouche",bench,,"dwelling, house","blue and red lozenge outlined with gold lines, ornament with white crosses background"
58,86r,171,,,"109, 2","red hooded tunic with hanging sleeves, liripipe, red hose for L’Amans, grey gown with hanging sleeves, red undertunic, pink hood, veil for Vielle","coronet of flowers, garland",,arches,"pink, blue and gold checkerboard with white diaper background"
59,90r,175,,,"35, two men","red gown, crown for Dido, hooded tunic with hanging sleeves, undertunic and hose for men",sword,,castle,gilt background
60,99v,187,,,"2, 109","red hooded tunic with hanging sleeves, burgundy undertunic, green hose for L’Amans, grey gown with red lining, pink undergown, wimple, veil tied at left ear",,,"castle, dwelling",blue and gold lozenges with white ornament background
61,100r,173,,,"2, 11","hooded tunic with hanging sleeves, undertunic, hose for L’Amans and Bel Acueil",,,,"red and blue lozenges outlined by gold lines, white cross backgrounds"
62,103v,202,,,"26, 45","pink gown with red undertunic for Franchise, blue hooded tunic for Dangier","spear, club, shield",,,checkerboard pattern outlined by gold lines with red and blue flowers background
63,107r,321,,,"husband, wife",,"bed, bedding, pillow ",,,gilt background
64,112v,232,,,"48, 79","tunic, veil for Genyus, pink gown with hanging sleeves, grey undergown, red hood with liripipe, wimple, veil for Nature",bench,,castle ,"blue checkerboard with red and blue dots, white diaper background"
65,129r,257,,,"48, 79","tunic, veil for Genyus, pink gown with hanging sleeves, grey undergown, red hood with liripipe, wimple, veil for Nature","bench, castle",,,checkerboard pattern outlined by gold lines with red and blue flowers background
66,130r,263,,,"48, Amors’ companions","pink tunic, green hooded mantle for Genyus, tunics with hanging sleeves, hoods for companions",pulpit,,,"checkerboard pattern with red circles and dots, blue diaper background, Genyus has tonsure"
67,138r,"272, 284",,,108,"red gown, wimple, veil tied at right ear ","bow, arrow",,castle ,"blue checkerboard with red and blue dots , white diaper background"
68,138v,275,,,"92, Galatea","pink tunic with hanging sleeves, red undertunic, red hose for Pygmalion","bench, statue",,,checkerboard pattern outlined by gold lines with red and blue flowers background
69,141r,282,,,"92, Galatea","red tunic with hanging sleeves, pink undertunic, pink hose, pointed shoes for Pygmalion, blue surcote, pink undergown for Galatea",,,,small checkerboard pattern with red and blue dots background
70,141v,"271, 284",,,108,"pink gown, red undergown, red hood with liripipe, veil for Venus","bow, arrow",,castle ,gilt background
71,146r,290,,,60,"red hooded tunic with full sleeves, liripipe, red hose, red undergown for Jean de Meun",bench,,crucifix,"two column wide miniature, foliate frame around page, small red, blue, gold checkerboard  background, Throne of Mercy"
