id,Folio ,Illustration title,Textual elements ,Initials ,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,"3, 5, 18, 7",,"blue M on gold ground, arabesque ornament in letter",2,"red tunic, red, green, purple hooded mantle","bed, bedding","rose vine, trees, river, ground","blue building, enclosure with portraits","portraits, gilt background, enclosed garden divides miniature, frame colored in two sections to divide scenes from each other, gilt leaves extend frame"
2,2r,8,,Blue E with red geometric ornament,50,"red mantle with green lining, pink gown, veil tied at right ear and wimple",bench,,red trefoil arch part of frame,"white diaper over blue checkerboard background forming octagons with red ornament, gilt leaves extend frame"
3,2r,9,,red U with black geometric ornament,"42, male figure","blue mantle with red lining, pink gown, black shoes, veil and wimple for Felonie, red tunic with hanging sleeves, red undertunic for male figure","bench, cup, ewer",,blue trefoil arches,"white diaper over red checkerboard background, frame indented for name of Felonnie, gilt leaves extend frame "
4,2r,10,,blue E with red geometric ornament,111,"red undertunic, pink gown with hanging sleeves, veil, wimple",bench ,,orange trefoil arches,"white diaper over blue, red, gold checkerboard background, frame indented for name of Vilonnie, gilt leaves extend frame "
5,2v,11,,red A with black geometric ornament,21,"pink gown, red mantle with green lining, veil and wimple tied on right side","bench, green chests, money, candlesticks?, ",,,"white diaper over blue checkerboard background forming octagons with red crosses and white circles, gilt leaves extend frame "
6,2v,12,,,9,"blue gown with red, pink, green patches, veil and wimple","hanging garments, bench, chest",,,"damage to right hand and body, white diaper and red checkerboard background, gilt leaves extend frame "
7,3r,13,,red A with black ornament,38,"pink gown, blue mantle with red lining",bench,,green arch,"white diaper over pink, blue, and gold checkerboard background, gilt leaves extend frame "
8,3v,14,,blue D with red geometric ornament,107,red gown,,hill,"orange trefoil arch, two towers","white arabesque, gilt leaves extend frame "
9,3v,15,,red A with black geometric ornament,110,"red gown, veil, wimple","canes, fireplace, fire, doorway",,three orange arches,"white diaper over red checkerboard background, gilt leaves extend frame "
10,4r,16,,red U with black geometric ornament,86,"black gown, veil, wimple","altar, book, altar cloth",,blue trefoil arches,"gilt background, frame indented for name of Ypocrisie, gilt leaves extend frame "
11,4v,17,,blue P with red geometric ornament at top of next column,95,"short white gown, veil tied at right",,hill,,"white diaper over blue checkerboard background with white and red circles, gilt leaves extend frame "
12,5v,18,,blue I with red geometric ornament,"83, 2","red tunic, red hooded mantle with green lining for L’Amans, red gown for Oiseuse",,"enclosed garden, three trees","doorway, wall, crenellation","white diaper over blue checkerboard background with white and red circles, gilt leaves extend frame, rubric in bubble in margin"
13,6v,23,,red C with black geometric ornament,"4, companions","red tunic for Amors, blue, red, pink, green tunics, floral coronets for companions",,,,"frame indented, gilt background, gilt leaves extend frame, rubric in bubble in margin"
