id,Folio ,Illustration title,Textual elements ,Initials ,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,"315, 1",,"M with gilding inside covered with blue and red vine, blue on outside","49, students","blue hooded tunic with red lining, black cap for Jean de Meun, red undertunic, red tunic, green tunic, blue tunic, pink tunic for students","bench, lectern, book",,,"foliate ornament extends from letter around page, hare hunt, background comprises large squares of blue faces, red, pink and gold checkerboard, and red, pink, gold checkerboard overlaid with a red wash"
2,1r,3,,,"2, 26","red hooded tunic for Dangier, ","bed, bedding, pillow",,,"blue checkerboard background, gilt leaves extend from frame"
3,2r,8,,red and blue Q with red and blue geometric ornament,50,"red gown, blue mantle, wimple and veil",bench ,,,"red and blue checkerboard background, gilt leaves extend from frame"
4,2r,11,,red and blue A with red and blue geometric ornament,"21, male figure","red gown, blue mantle, wimple and veil for Covoitise, brown tunic for male figure","bench, cup",,,"pink, blue and gold lozenge background, gilt leaves extend from frame"
5,2v,12,,red and blue U with red and blue geometric ornament,"9, male figure","green gown, veil and wimple tied at ears for ","bench, chest, money, money bac, gold object",,,"background with alternating squares of blue faces, pink, blue and gold checkerboards and pink, blue, gold checkerboards with pink wash, gilt leaves extend from frame"
6,2v,13,,red and blue A with red and blue geometric ornament,38,"pink gown, pink mantle with red lining, wimple and veil for Envie",bench ,,,"red and blue checkerboard background, gilt leaves extend from frame"
7,3r,14,,red D with red and blue geometric ornament,107,pink gown with red markings for Tritesce,bench ,,,"blue, pink and gold lozenge background, gilt leaves extend from frame"
8,3v,15,,blue and red A with blue and red geometric ornament,110,blue hooded tunic with red detailing for Viellleice,"bench, fire, pot, chimney",,,"blue, pink and gold checkerboard background, gilt leaves extend from frame"
9,4r,16,,blue and red U with blue and red geometric ornament,86,"brown gown, red mantle with blue lining, veil and wimple tied at ear","altar, altarcloth",,,"red and blue checkerboard background, gilt leaves extend from frame"
10,4v,17,,blue and red P with blue and red geometric ornament,95,black gown for Povrete,bench ,,,"background with lozenges that alternate red, pink and blue checkerboards, blue faces and red, pink, blue checkerboards with pink wash, gilt leaves extend frame, a dog? is present, gilt leaves extend from frame"
11,6r,18,,blue and red initial with blue and red geometric ornament,"2, 83","purple cotehardie, brown gown for Oiseuse, red tunic for L’Amans",,"enclosed garden, trees",castle,"pink, blue and gold background, gilt leaves extend from frame"
12,6v,23,,blue and red L with blue and red geometric ornament,"companions, musician","pink tunic, blue gown, red tunic, purple cotehardie, blue gown, blue tunic, red mantle for companions",trumpet,,,"gilt background, gilt leaves extend from frame"
13,7r,23,,red and blue D with red and blue geometric ornament,,"pink gown, red tunic, purple gown, red tunic, pink tunic, brown tunic for companions",trumpets,,,"pink, blue and gold lozenge background, gilt leaves extend from frame  "
14,7v,28,,red and blue A with red and blue geometric ornament,"2, 4","pink tunic, red mantle, crown for Amors, blue tunic with red undertunic",,,,"white diaper over blue checkerboard with red circles background, gilt leaves extend from frame"
15,7v,41,,red and blue initial with red and blue geometric ornament,"2, 4","red tunic, blue mantle, crown for Amors, pink tunic, red undertunic for L’Amans","bow, arrows",,,"white diaper over blue and gold checkerboard background, gilt leaves extend from frame"
16,8r,41,,red and blue initial with red and blue geometric ornament,"2, 4","pink tunic, red mantle, crown for Amors, blue tunic with red undertunic L’Amans","bow, arrows",,,"pink, blue and gold lozenge background, gilt leaves extend from frame  "
17,8v,32,,red and blue D with red and blue geometric ornament at top of next column,"97, male figure","blue gown for Richece, red hooded tunic for male figure",,,,"red and blue checkerboard background, gilt leaves extend from frame"
18,9r,34,,red and blue B with red and blue geometric ornament,"97, male figure","wimple, veil tied at ears, red gown, blue mantle for Richece, brown tunic for male figure","cup, bench",,,"red, blue and gold lozenge background, gilt leaves extend from frame"
19,9v,35,,red and blue initial with red and blue geometric ornament,"66, male figure","red hooded tunic for male figure, blue gown, brown under gown for Largesce",,,,"white diaper over blue, red and gold checkerboard background, gilt leaves extend from frame"
20,9v,36,,red and blue initial with red and blue geometric ornament,"45, male figure","pink tunic, green hood, red undertunic for male figure, white cotehardie, green undergown, red garter for Franchise",glove,,,"white diaper over blue checkerboard with red circles background, gilt leaves extend from frame"
21,10r,37,,red and blue A with red and blue geometric ornament at top of next page,"19, male figure","red hooded tunic for male figure, green undertunic, pink gown, blue undergown for Cortoisie",,,,"background with lozenges that alternate red, pink and blue checkerboards, blue waves and red, pink, blue checkerboards with pink wash, gilt leaves extend from frame"
22,10v,39,,red and blue A with red and blue geometric ornament at top of next page,"61, male figure","red hooded tunic for male figure, blue gown, brown under gown for Joinece",,,,"white diaper over red and blue checkerboard background, gilt leaves extend from frame"
23,11v,45,,red and blue N  with red and blue geometric ornament,,red hooded tunic for L’Amans,,"tree, hill, fountain",,"red, blue and gold checkerboard"
24,13r,51,,red and blue initial with red and blue geometric ornament,,"blue tunic, red mantle, crown for Amors, pink tunic for L’Amans",,,,"red, blue and gold lozenges, gilt leaves extend from frame"
25,28r,95,,red and blue E with red and blue geometric ornament,,blue hooded tunic for L’Amans,"chair, lectern",,,"red, blue, gold checkerboard, gilt leaves extend from frame"
26,68v,95,,red and blue P with red and blue geometric ornament,,"green hooded tunic with wide sleeves, red undertunic for Jean de Meun, red tunic for male figure",bench ,,,"white diaper over blue checkerboard with red circles, gilt leaves extend from frame"
