id,Folio ,Illustration title,Textual elements ,Initials ,Characters,Costume,Objects,Landscape,Architecture,Other
1,2r,3,,,"2, 26",hooded robe for Dangier,"bed, bedding, staff for Dangier",rose vine,,gilt background
2,2r,8,,,"2, 50","blue gown, veil and wimple for Haine, pink hooded tunic for L’Amans",,two trees,,gilt background
3,2r,9,,,"2, 42","wimple, veil knotted at temple, green surcote over red tunic for Felonie, pinkhooded robe for L’Amans",cup,tree,,marginalia: hare hunt
4,2v,11,,,21,"cap, pink surcote over red tunic, cap","bench, chest, money, clothing rod, clothing",,,gilt background
5,2v,12,,,9,green surcote over red tunic,"locked chest, clothing rod, clothing",,,gilt background
6,2v,13,,,"2, 38, female figure","veil, wimple and green surcote over red tunic for Envie, blue surcote over red tunic for unknown woman, pink hooded tunic for L’Amans",,tree,,"gilt background, L’Amans embraces a woman, Envie watches"
7,2v,14,,,107,pink robe slashed down middle of chest,,two trees,,gilt background
8,3r,15,,,110,pink hooded gown,cane,two trees,,gilt background
9,3r,16,,,86,"red hooded gown, blue mantle, wimple, veil","altar, book",tree,,gilt background
10,3r,17,,,95,blue hooded gown split down middle of chest,,"two trees, hill",,"gilt background, wear or scraping over Povrete’s chest and arm"
11,4r,23,,,dancers,"coif, cap and veil dressed in points at ears on women, gown or surcote on women, hooded tunic on men, blue, green, pink, white, red",gloves,,,"gilt background, dancers link to each other by holding long gloves"
12,4r,24,,,"19, 2","green surcote over red tunic, coif, cap and veil dressed in points at ears on Cortoisie, pink hooded tunic on L’Amans",glove,,,"gilt background,L’Amans holds glove"
13,4v,"27, 40",,,"4, dancers","green surcote over red tunic, coif, cap and veil dressed in points at ears on woman, blue hooded tunic on man, red tunic, pink mantle and crown on Amors",gloves,,,"gilt background, Amors’ compagnons carry gloves, they hold hands and dance"
14,5r,35,,,"66, 2","green surcote over red tunic, coif, cap and veil dressed in points at ears on Largesce, pink hooded tunic on L’Amans",,tree,,"gilt background, L’Amans holds  something snake-like in his hand"
